uuid,date_of_birth,sex,job_id,num_course_taken,current_career_path_id,age,age_group,email,address_line_1,city,state,zip_code,time_spent,first_name,last_name,career_path_id,career_path_name,hours_to_complete,job_category,avg_salary
1,1943-07-03,F,7,6,1,81,80,annabelle_avery9376@woohoo.com,303 N Timber Key,Irondale,Wisconsin,84736,0 days 04:59:24,Annabelle,Avery,1,data scientist,20,HR,80000
2,1991-02-07,M,7,5,8,33,30,rubio6772@hmail.com,767 Crescent Fair,Shoals,Indiana,37439,0 days 04:24:00,Micah,Rubio,8,android developer,27,HR,80000
3,1989-12-07,M,7,8,8,34,30,hosea_dale8084@coldmail.com,P.O. Box 41269,St. Bonaventure,Virginia,83637,0 days 06:44:24,Hosea,Dale,8,android developer,27,HR,80000
4,1988-07-31,F,6,7,9,35,30,kirk4005@hmail.com,517 SE Wintergreen Isle,Lane,Arkansas,82242,0 days 12:18:36,Mariann,Kirk,9,machine learning engineer,35,education,61000
5,1963-08-31,M,7,14,3,60,60,alexander9810@hmail.com,18 Cinder Cliff,Doyles borough,Rhode Island,73737,0 days 05:38:24,Lucio,Alexander,3,data analyst,12,HR,80000
6,1989-10-15,F,6,10,3,34,30,shavonda5863@coldmail.com,P.O. Box 81591,Tarpon Springs,Montana,37057,0 days 10:07:12,Shavonda,Mcmahon,3,data analyst,12,education,61000
7,1959-05-05,M,2,9,8,65,60,bleijenberg188@hmail.com,P.O. Box 53471,Oskaloosa,Virginia,85274,1 days 00:10:12,Terrell,Bleijenberg,8,android developer,27,engineer,101000
8,1997-11-22,M,3,3,1,26,20,stanford_allan8055@coldmail.com,255 Spring Avenue,Point Baker,Texas,15796,0 days 19:32:24,Stanford,Allan,1,data scientist,20,software developer,110000
8,1997-11-22,M,3,3,1,26,20,stanford_allan8055@coldmail.com,255 Spring Avenue,Point Baker,Texas,15796,0 days 19:32:24,Stanford,Allan,1,data scientist,20,software developer,110000
9,1961-10-20,F,1,6,9,62,60,tricia_delacruz6622@woohoo.com,997 Dewy Apple,Lake Lindsey,Washington,78266,0 days 01:45:00,Tricia,Delacruz,9,machine learning engineer,35,analytics,86000
